survived,pclass,age,sibsp,parch,fare,class,who,adult_male,embark_town,alive,alone,fare_normalized,sex_male,embarked_Q,embarked_S
0,3,22.0,1,0,7.25,Third,man,True,Southampton,no,False,0.014151057562208049,True,False,True
1,1,38.0,1,0,71.2833,First,woman,False,Cherbourg,yes,False,0.13913573538264068,False,False,False
1,3,26.0,0,0,7.925,Third,woman,False,Southampton,yes,True,0.015468569817999833,False,False,True
1,1,35.0,1,0,53.1,First,woman,False,Southampton,yes,False,0.10364429745562033,False,False,True
0,3,35.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,28.0,0,0,8.4583,Third,man,True,Queenstown,no,True,0.01650950209357577,True,True,False
0,1,54.0,0,0,51.8625,First,man,True,Southampton,no,True,0.10122885832000206,True,False,True
0,3,2.0,3,1,21.075,Third,child,False,Southampton,no,False,0.04113566043083236,True,False,True
1,3,27.0,0,2,11.1333,Third,woman,False,Southampton,yes,False,0.021730754366528396,False,False,True
1,2,14.0,1,0,30.0708,Second,child,False,Cherbourg,yes,False,0.058694292654020104,False,False,False
1,3,4.0,1,1,16.7,Third,child,False,Southampton,yes,False,0.03259622914329302,False,False,True
1,1,58.0,0,0,26.55,First,woman,False,Southampton,yes,True,0.051822148727810165,False,False,True
0,3,20.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,39.0,1,5,31.275,Third,man,True,Southampton,no,False,0.06104473451835265,True,False,True
0,3,14.0,0,0,7.8542,Third,child,False,Southampton,no,True,0.015330377421392339,False,False,True
1,2,55.0,0,0,16.0,Second,woman,False,Southampton,yes,True,0.03122992013728673,False,False,True
0,3,2.0,4,1,29.125,Third,child,False,Queenstown,no,False,0.056848213999904744,True,True,False
1,2,28.0,0,0,13.0,Second,man,True,Southampton,yes,True,0.025374310111545468,True,False,True
0,3,31.0,1,0,18.0,Third,woman,False,Southampton,no,False,0.03513366015444757,False,False,True
1,3,28.0,0,0,7.225,Third,woman,False,Cherbourg,yes,True,0.014102260811993537,False,False,False
0,2,35.0,0,0,26.0,Second,man,True,Southampton,no,True,0.050748620223090936,True,False,True
1,2,34.0,0,0,13.0,Second,man,True,Southampton,yes,True,0.025374310111545468,True,False,True
1,3,15.0,0,0,8.0292,Third,child,False,Queenstown,yes,True,0.015671954672893913,False,True,False
1,1,28.0,0,0,35.5,First,man,True,Southampton,yes,True,0.06929138530460492,True,False,True
0,3,8.0,3,1,21.075,Third,child,False,Southampton,no,False,0.04113566043083236,False,False,True
1,3,38.0,1,5,31.3875,Third,woman,False,Southampton,yes,False,0.061264319894317944,False,False,True
0,3,28.0,0,0,7.225,Third,man,True,Cherbourg,no,True,0.014102260811993537,True,False,False
0,1,19.0,3,2,263.0,First,man,True,Southampton,no,False,0.5133418122566505,True,False,True
1,3,28.0,0,0,7.8792,Third,woman,False,Queenstown,yes,True,0.01537917417160685,False,True,False
0,3,28.0,0,0,7.8958,Third,man,True,Southampton,no,True,0.015411575213749284,True,False,True
0,1,40.0,0,0,27.7208,First,man,True,Cherbourg,no,True,0.05410739813385612,True,False,False
1,1,28.0,1,0,146.5208,First,woman,False,Cherbourg,yes,False,0.2859895551532101,False,False,False
1,3,28.0,0,0,7.75,Third,woman,False,Queenstown,yes,True,0.015126992566498259,False,True,False
0,2,66.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,1,28.0,1,0,82.1708,First,man,True,Cherbourg,no,False,0.16038672010106,True,False,False
0,1,42.0,1,0,52.0,First,man,True,Southampton,no,False,0.10149724044618187,True,False,True
1,3,28.0,0,0,7.2292,Third,man,True,Cherbourg,yes,True,0.014110458666029575,True,False,False
0,3,21.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,18.0,2,0,18.0,Third,woman,False,Southampton,no,False,0.03513366015444757,False,False,True
1,3,14.0,1,0,11.2417,Third,child,False,Cherbourg,yes,False,0.021942337075458514,False,False,False
0,3,40.0,1,0,9.475,Third,woman,False,Southampton,no,False,0.018493968331299484,False,False,True
0,2,27.0,1,0,21.0,Second,woman,False,Southampton,no,False,0.04098927018018883,False,False,True
0,3,28.0,0,0,7.8958,Third,man,True,Cherbourg,no,True,0.015411575213749284,True,False,False
1,2,3.0,1,2,41.5792,Second,child,False,Cherbourg,yes,False,0.08115719346076702,False,False,False
1,3,19.0,0,0,7.8792,Third,woman,False,Queenstown,yes,True,0.01537917417160685,False,True,False
0,3,28.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,28.0,1,0,15.5,Third,man,True,Queenstown,no,False,0.030253985132996517,True,True,False
0,3,28.0,2,0,21.6792,Third,man,True,Cherbourg,no,False,0.04231498029001666,True,False,False
0,3,18.0,1,0,17.8,Third,woman,False,Southampton,no,False,0.034743286152731485,False,False,True
0,3,7.0,4,1,39.6875,Third,child,False,Southampton,no,False,0.07746484096553544,True,False,True
0,3,21.0,0,0,7.8,Third,man,True,Southampton,no,True,0.01522458606692728,True,False,True
1,1,49.0,1,0,76.7292,First,woman,False,Cherbourg,yes,False,0.1497654242623688,False,False,False
1,2,29.0,1,0,26.0,Second,woman,False,Southampton,yes,False,0.050748620223090936,False,False,True
0,1,65.0,0,1,61.9792,First,man,True,Cherbourg,no,False,0.1209753416358076,True,False,False
1,2,21.0,0,0,10.5,Second,woman,False,Southampton,yes,True,0.020494635090094415,False,False,True
0,3,28.5,0,0,7.2292,Third,man,True,Cherbourg,no,True,0.014110458666029575,True,False,False
1,2,5.0,1,2,27.75,Second,child,False,Southampton,yes,False,0.05416439273810667,False,False,True
0,3,11.0,5,2,46.9,Third,child,False,Southampton,no,False,0.09154270340242172,True,False,True
0,3,22.0,0,0,7.2292,Third,man,True,Cherbourg,no,True,0.014110458666029575,True,False,False
1,1,38.0,0,0,80.0,First,woman,False,Southampton,yes,True,0.15614960068643363,False,False,True
0,1,45.0,1,0,83.475,First,man,True,Southampton,no,False,0.16293234896625058,True,False,True
0,3,4.0,3,2,27.9,Third,child,False,Southampton,no,False,0.05445717323939373,True,False,True
0,1,28.0,0,0,27.7208,First,man,True,Cherbourg,no,True,0.05410739813385612,True,False,False
1,3,28.0,1,1,15.2458,Third,man,True,Cherbourg,yes,False,0.029757819776815374,True,False,False
1,2,29.0,0,0,10.5,Second,woman,False,Southampton,yes,True,0.020494635090094415,False,False,True
0,3,19.0,0,0,8.1583,Third,man,True,Southampton,no,True,0.015923941091001644,True,False,True
1,3,17.0,4,2,7.925,Third,woman,False,Southampton,yes,False,0.015468569817999833,False,False,True
0,3,26.0,2,0,8.6625,Third,man,True,Southampton,no,False,0.016908073949327893,True,False,True
0,2,32.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,3,16.0,5,2,46.9,Third,woman,False,Southampton,no,False,0.09154270340242172,False,False,True
0,2,21.0,0,0,73.5,Second,man,True,Southampton,no,True,0.1434624456306609,True,False,True
0,3,26.0,1,0,14.4542,Third,man,True,Cherbourg,no,False,0.028212719478023115,True,False,False
1,3,32.0,0,0,56.4958,Third,man,True,Southampton,yes,True,0.11027245763075773,True,False,True
0,3,25.0,0,0,7.65,Third,man,True,Southampton,no,True,0.014931805565640218,True,False,True
1,2,0.83,0,2,29.0,Second,child,False,Southampton,yes,False,0.056604230248832196,True,False,True
1,3,30.0,0,0,12.475,Third,woman,False,Southampton,yes,True,0.024349578357040744,False,False,True
0,3,22.0,0,0,9.0,Third,man,True,Southampton,no,True,0.017566830077223785,True,False,True
1,3,29.0,0,0,9.5,Third,man,True,Southampton,yes,True,0.018542765081513996,True,False,True
1,3,28.0,0,0,7.7875,Third,woman,False,Queenstown,yes,True,0.015200187691820024,False,True,False
0,1,28.0,0,0,47.1,First,man,True,Southampton,no,True,0.09193307740413781,True,False,True
1,2,17.0,0,0,10.5,Second,woman,False,Southampton,yes,True,0.020494635090094415,False,False,True
1,3,33.0,3,0,15.85,Third,woman,False,Southampton,yes,False,0.030937139635999665,False,False,True
0,3,16.0,1,3,34.375,Third,man,True,Southampton,no,False,0.06709553154495196,True,False,True
1,1,23.0,3,2,263.0,First,woman,False,Southampton,yes,False,0.5133418122566505,False,False,True
0,3,24.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,29.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,20.0,0,0,7.8542,Third,man,True,Southampton,no,True,0.015330377421392339,True,False,True
0,1,46.0,1,0,61.175,First,man,True,Southampton,no,False,0.11940564777490723,True,False,True
0,3,26.0,1,2,20.575,Third,man,True,Southampton,no,False,0.04015972542654215,True,False,True
0,3,59.0,0,0,7.25,Third,man,True,Southampton,no,True,0.014151057562208049,True,False,True
0,1,71.0,0,0,34.6542,First,man,True,Cherbourg,no,True,0.06764049365134761,True,False,False
1,1,23.0,0,1,63.3583,First,man,True,Cherbourg,yes,False,0.12366716556464086,True,False,False
1,2,34.0,0,1,23.0,Second,woman,False,Southampton,yes,False,0.04489301019734967,False,False,True
0,2,34.0,1,0,26.0,Second,man,True,Southampton,no,False,0.050748620223090936,True,False,True
0,3,28.0,0,0,7.8958,Third,woman,False,Southampton,no,True,0.015411575213749284,False,False,True
0,1,21.0,0,1,77.2875,First,man,True,Southampton,no,False,0.15085515328815924,True,False,True
0,3,33.0,0,0,8.6542,Third,man,True,Southampton,no,True,0.016891873428256675,True,False,True
0,3,37.0,2,0,7.925,Third,man,True,Southampton,no,False,0.015468569817999833,True,False,True
1,3,21.0,0,0,7.65,Third,woman,False,Southampton,yes,True,0.014931805565640218,False,False,True
1,3,28.0,0,0,7.775,Third,man,True,Southampton,yes,True,0.015175789316712771,True,False,True
0,3,38.0,0,0,7.8958,Third,man,True,Southampton,no,True,0.015411575213749284,True,False,True
1,3,28.0,1,0,24.15,Third,woman,False,Queenstown,yes,False,0.04713766070721715,False,True,False
0,1,47.0,0,0,52.0,First,man,True,Southampton,no,True,0.10149724044618187,True,False,True
0,3,14.5,1,0,14.4542,Third,child,False,Cherbourg,no,False,0.028212719478023115,False,False,False
0,3,22.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,20.0,1,0,9.825,Third,woman,False,Southampton,no,False,0.019177122834302632,False,False,True
0,3,17.0,0,0,14.4583,Third,woman,False,Cherbourg,no,True,0.028220722145058292,False,False,False
0,3,21.0,0,0,7.925,Third,man,True,Southampton,no,True,0.015468569817999833,True,False,True
0,3,70.5,0,0,7.75,Third,man,True,Queenstown,no,True,0.015126992566498259,True,True,False
0,2,29.0,1,0,21.0,Second,man,True,Southampton,no,False,0.04098927018018883,True,False,True
0,1,24.0,0,1,247.5208,First,man,True,Cherbourg,no,False,0.4831284260198326,True,False,False
0,3,2.0,4,2,31.275,Third,child,False,Southampton,no,False,0.06104473451835265,False,False,True
0,2,21.0,2,0,73.5,Second,man,True,Southampton,no,False,0.1434624456306609,True,False,True
0,2,32.5,1,0,30.0708,Second,man,True,Cherbourg,no,False,0.058694292654020104,True,False,False
1,2,32.5,0,0,13.0,Second,woman,False,Southampton,yes,True,0.025374310111545468,False,False,True
0,1,54.0,0,1,77.2875,First,man,True,Southampton,no,False,0.15085515328815924,True,False,True
1,3,12.0,1,0,11.2417,Third,child,False,Cherbourg,yes,False,0.021942337075458514,True,False,False
0,3,28.0,0,0,7.75,Third,man,True,Queenstown,no,True,0.015126992566498259,True,True,False
1,3,24.0,0,0,7.1417,Third,man,True,Southampton,yes,True,0.01393967004027879,True,False,True
1,3,28.0,1,1,22.3583,Third,woman,False,Cherbourg,yes,False,0.04364049521284361,False,False,False
0,3,45.0,0,0,6.975,Third,man,True,Southampton,no,True,0.013614293309848433,True,False,True
0,3,33.0,0,0,7.8958,Third,man,True,Cherbourg,no,True,0.015411575213749284,True,False,False
0,3,20.0,0,0,7.05,Third,man,True,Southampton,no,True,0.013760683560491965,True,False,True
0,3,47.0,1,0,14.5,Third,woman,False,Southampton,no,False,0.028302115124416098,False,False,True
0,2,25.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
0,2,23.0,0,0,15.0458,Second,man,True,Cherbourg,no,True,0.02936744577509929,True,False,False
1,1,19.0,0,2,26.2833,First,woman,False,Southampton,yes,False,0.051301584996521765,False,False,True
0,1,37.0,1,0,53.1,First,man,True,Southampton,no,False,0.10364429745562033,True,False,True
0,3,16.0,0,0,9.2167,Third,man,True,Southampton,no,True,0.01798980030808316,True,False,True
0,1,24.0,0,0,79.2,First,man,True,Cherbourg,no,True,0.15458810467956932,True,False,False
0,3,28.0,0,2,15.2458,Third,woman,False,Cherbourg,no,False,0.029757819776815374,False,False,False
1,3,22.0,0,0,7.75,Third,woman,False,Southampton,yes,True,0.015126992566498259,False,False,True
1,3,24.0,1,0,15.85,Third,woman,False,Southampton,yes,False,0.030937139635999665,False,False,True
0,3,19.0,0,0,6.75,Third,man,True,Queenstown,no,True,0.013175122557917838,True,True,False
0,2,18.0,0,0,11.5,Second,man,True,Southampton,no,True,0.022446505098674834,True,False,True
0,2,19.0,1,1,36.75,Second,man,True,Southampton,no,False,0.07173122281533045,True,False,True
1,3,27.0,0,0,7.7958,Third,man,True,Southampton,yes,True,0.015216388212891242,True,False,True
0,3,9.0,2,2,34.375,Third,child,False,Southampton,no,False,0.06709553154495196,False,False,True
0,2,36.5,0,2,26.0,Second,man,True,Southampton,no,False,0.050748620223090936,True,False,True
0,2,42.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
0,2,51.0,0,0,12.525,Second,man,True,Southampton,no,True,0.02444717185746977,True,False,True
1,1,22.0,1,0,66.6,First,woman,False,Southampton,yes,False,0.12999454257145598,False,False,True
0,3,55.5,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,40.5,0,2,14.5,Third,man,True,Southampton,no,False,0.028302115124416098,True,False,True
0,3,28.0,0,0,7.3125,Third,man,True,Southampton,no,True,0.014273049437744325,True,False,True
0,1,51.0,0,1,61.3792,First,man,True,Cherbourg,no,False,0.11980421963065935,True,False,False
1,3,16.0,0,0,7.7333,Third,woman,False,Queenstown,yes,True,0.015094396337354966,False,True,False
0,3,30.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
0,3,28.0,0,0,8.6625,Third,man,True,Southampton,no,True,0.016908073949327893,True,False,True
0,3,28.0,8,2,69.55,Third,man,True,Southampton,no,False,0.13575255909676823,True,False,True
0,3,44.0,0,1,16.1,Third,man,True,Southampton,no,False,0.031425107138144774,True,False,True
1,2,40.0,0,0,15.75,Second,woman,False,Southampton,yes,True,0.030741952635141623,False,False,True
0,3,26.0,0,0,7.775,Third,man,True,Southampton,no,True,0.015175789316712771,True,False,True
0,3,17.0,0,0,8.6625,Third,man,True,Southampton,no,True,0.016908073949327893,True,False,True
0,3,1.0,4,1,39.6875,Third,child,False,Southampton,no,False,0.07746484096553544,True,False,True
1,3,9.0,0,2,20.525,Third,child,False,Southampton,yes,False,0.04006213192611313,True,False,True
1,1,28.0,0,1,55.0,First,woman,False,Southampton,yes,False,0.10735285047192313,False,False,True
0,3,45.0,1,4,27.9,Third,woman,False,Southampton,no,False,0.05445717323939373,False,False,True
0,1,28.0,0,0,25.925,First,man,True,Southampton,no,True,0.050602229972447406,True,False,True
0,3,28.0,0,0,56.4958,Third,man,True,Southampton,no,True,0.11027245763075773,True,False,True
0,1,61.0,0,0,33.5,First,man,True,Southampton,no,True,0.06538764528744409,True,False,True
0,3,4.0,4,1,29.125,Third,child,False,Queenstown,no,False,0.056848213999904744,True,True,False
1,3,1.0,1,1,11.1333,Third,child,False,Southampton,yes,False,0.021730754366528396,False,False,True
0,1,56.0,0,0,30.6958,First,man,True,Cherbourg,no,True,0.05991421140938287,True,False,False
0,3,18.0,1,1,7.8542,Third,man,True,Southampton,no,False,0.015330377421392339,True,False,True
0,3,28.0,3,1,25.4667,Third,man,True,Southampton,no,False,0.04970768794751499,True,False,True
0,1,50.0,0,0,28.7125,First,woman,False,Cherbourg,no,True,0.05604306762136532,False,False,False
0,2,30.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
0,3,36.0,0,0,0.0,Third,man,True,Southampton,no,True,0.0,True,False,True
0,3,28.0,8,2,69.55,Third,woman,False,Southampton,no,False,0.13575255909676823,False,False,True
0,2,28.0,0,0,15.05,Second,man,True,Cherbourg,no,True,0.02937564362913533,True,False,False
0,3,9.0,4,2,31.3875,Third,child,False,Southampton,no,False,0.061264319894317944,True,False,True
1,2,1.0,2,1,39.0,Second,child,False,Southampton,yes,False,0.0761229303346364,True,False,True
1,3,4.0,0,2,22.025,Third,child,False,Southampton,yes,False,0.04298993693898376,False,False,True
0,1,28.0,0,0,50.0,First,man,True,Southampton,no,True,0.09759350042902103,True,False,True
1,3,28.0,1,0,15.5,Third,woman,False,Queenstown,yes,False,0.030253985132996517,False,True,False
1,1,45.0,0,0,26.55,First,man,True,Southampton,yes,True,0.051822148727810165,True,False,True
0,3,40.0,1,1,15.5,Third,man,True,Queenstown,no,False,0.030253985132996517,True,True,False
0,3,36.0,0,0,7.8958,Third,man,True,Southampton,no,True,0.015411575213749284,True,False,True
1,2,32.0,0,0,13.0,Second,woman,False,Southampton,yes,True,0.025374310111545468,False,False,True
0,2,19.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
1,3,19.0,1,0,7.8542,Third,woman,False,Southampton,yes,False,0.015330377421392339,False,False,True
1,2,3.0,1,1,26.0,Second,child,False,Southampton,yes,False,0.050748620223090936,True,False,True
1,1,44.0,0,0,27.7208,First,woman,False,Cherbourg,yes,True,0.05410739813385612,False,False,False
1,1,58.0,0,0,146.5208,First,woman,False,Cherbourg,yes,True,0.2859895551532101,False,False,False
0,3,42.0,0,1,8.4042,Third,man,True,Southampton,no,False,0.01640390592611157,True,False,True
0,2,24.0,0,0,13.0,Second,woman,False,Southampton,no,True,0.025374310111545468,False,False,True
0,3,28.0,0,0,9.5,Third,man,True,Southampton,no,True,0.018542765081513996,True,False,True
0,3,34.0,0,0,6.4958,Third,man,True,Southampton,no,True,0.012678957201736696,True,False,True
0,3,45.5,0,0,7.225,Third,man,True,Cherbourg,no,True,0.014102260811993537,True,False,False
1,3,18.0,0,0,8.05,Third,man,True,Southampton,yes,True,0.015712553569072387,True,False,True
0,3,2.0,0,1,10.4625,Third,child,False,Southampton,no,False,0.02042143996477265,False,False,True
0,3,32.0,1,0,15.85,Third,man,True,Southampton,no,False,0.030937139635999665,True,False,True
1,3,26.0,0,0,18.7875,Third,man,True,Cherbourg,yes,True,0.036670757786204655,True,False,False
1,3,16.0,0,0,7.75,Third,woman,False,Queenstown,yes,True,0.015126992566498259,False,True,False
1,1,40.0,0,0,31.0,First,man,True,Cherbourg,yes,True,0.060507970265993034,True,False,False
0,3,24.0,0,0,7.05,Third,man,True,Southampton,no,True,0.013760683560491965,True,False,True
1,2,35.0,0,0,21.0,Second,woman,False,Southampton,yes,True,0.04098927018018883,False,False,True
0,3,22.0,0,0,7.25,Third,man,True,Southampton,no,True,0.014151057562208049,True,False,True
0,3,28.0,1,0,7.75,Third,man,True,Queenstown,no,False,0.015126992566498259,True,True,False
1,1,31.0,1,0,113.275,First,woman,False,Cherbourg,yes,False,0.22109807522194713,False,False,False
1,3,27.0,0,0,7.925,Third,woman,False,Southampton,yes,True,0.015468569817999833,False,False,True
0,2,42.0,1,0,27.0,Second,man,True,Southampton,no,False,0.05270049023167135,True,False,True
1,1,32.0,0,0,76.2917,First,woman,False,Cherbourg,yes,True,0.14891148113361488,False,False,False
0,2,30.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
1,3,16.0,0,0,8.05,Third,man,True,Southampton,yes,True,0.015712553569072387,True,False,True
0,2,27.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
0,3,51.0,0,0,8.05,Third,man,True,Southampton,no,True,0.015712553569072387,True,False,True
1,1,38.0,1,0,90.0,First,man,True,Southampton,yes,False,0.17566830077223786,True,False,True
0,3,22.0,0,0,9.35,Third,man,True,Southampton,no,True,0.01824998458022693,True,False,True
1,2,19.0,0,0,10.5,Second,man,True,Southampton,yes,True,0.020494635090094415,True,False,True
0,3,20.5,0,0,7.25,Third,man,True,Southampton,no,True,0.014151057562208049,True,False,True
0,2,18.0,0,0,13.0,Second,man,True,Southampton,no,True,0.025374310111545468,True,False,True
0,3,28.0,3,1,25.4667,Third,woman,False,Southampton,no,False,0.04970768794751499,False,False,True
1,1,35.0,1,0,83.475,First,woman,False,Southampton,yes,False,0.16293234896625058,False,False,True
0,3,29.0,0,0,7.775,Third,man,True,Southampton,no,True,0.015175789316712771,True,False,True
0,2,59.0,0,0,13.5,Second,man,True,Southampton,no,True,0.026350245115835676,True,False,True
1,3,5.0,4,2,31.3875,Third,child,False,Southampton,yes,False,0.061264319894317944,False,False,True
0,2,24.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,3,28.0,0,0,7.55,Third,woman,False,Southampton,no,True,0.014736618564782174,False,False,True
0,2,44.0,1,0,26.0,Second,man,True,Southampton,no,False,0.050748620223090936,True,False,True
1,2,8.0,0,2,26.25,Second,child,False,Southampton,yes,False,0.05123658772523604,False,False,True
0,2,19.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,2,33.0,0,0,12.275,Second,man,True,Southampton,no,True,0.023959204355324663,True,False,True
0,3,28.0,1,0,14.4542,Third,woman,False,Cherbourg,no,False,0.028212719478023115,False,False,False
0,2,29.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,3,22.0,0,0,7.125,Third,man,True,Southampton,no,True,0.013907073811135496,True,False,True
0,3,30.0,0,0,7.225,Third,man,True,Cherbourg,no,True,0.014102260811993537,True,False,False
0,1,44.0,2,0,90.0,First,man,True,Queenstown,no,False,0.17566830077223786,True,True,False
0,3,25.0,0,0,7.775,Third,woman,False,Southampton,no,True,0.015175789316712771,False,False,True
1,2,24.0,0,2,14.5,Second,woman,False,Southampton,yes,False,0.028302115124416098,False,False,True
1,1,37.0,1,1,52.5542,First,man,True,Southampton,yes,False,0.10257896680493714,True,False,True
0,2,54.0,1,0,26.0,Second,man,True,Southampton,no,False,0.050748620223090936,True,False,True
0,3,28.0,0,0,7.25,Third,man,True,Southampton,no,True,0.014151057562208049,True,False,True
0,3,29.0,1,1,10.4625,Third,woman,False,Southampton,no,False,0.02042143996477265,False,False,True
0,1,62.0,0,0,26.55,First,man,True,Southampton,no,True,0.051822148727810165,True,False,True
0,3,30.0,1,0,16.1,Third,man,True,Southampton,no,False,0.031425107138144774,True,False,True
0,3,41.0,0,2,20.2125,Third,woman,False,Southampton,no,False,0.039452172548431745,False,False,True
1,3,29.0,0,2,15.2458,Third,woman,False,Cherbourg,yes,False,0.029757819776815374,False,False,False
1,1,28.0,0,0,79.2,First,woman,False,Cherbourg,yes,True,0.15458810467956932,False,False,False
1,1,30.0,0,0,86.5,First,woman,False,Southampton,yes,True,0.16883675574220638,False,False,True
1,1,35.0,0,0,512.3292,First,woman,False,Cherbourg,yes,True,1.0,False,False,False
1,2,50.0,0,1,26.0,Second,woman,False,Southampton,yes,False,0.050748620223090936,False,False,True
1,3,3.0,4,2,31.3875,Third,child,False,Southampton,yes,False,0.061264319894317944,True,False,True
0,1,52.0,1,1,79.65,First,man,True,Southampton,no,False,0.1554664461834305,True,False,True
0,1,40.0,0,0,0.0,First,man,True,Southampton,no,True,0.0,True,False,True
0,3,28.0,0,0,7.75,Third,woman,False,Queenstown,no,True,0.015126992566498259,False,True,False
0,2,36.0,0,0,10.5,Second,man,True,Southampton,no,True,0.020494635090094415,True,False,True
0,3,16.0,4,1,39.6875,Third,man,True,Southampton,no,False,0.07746484096553544,True,False,True
1,3,25.0,1,0,7.775,Third,man,True,Southampton,yes,False,0.015175789316712771,True,False,True
1,1,58.0,0,1,153.4625,First,woman,False,Southampton,yes,False,0.2995388511917728,False,False,True
1,1,35.0,0,0,135.6333,First,woman,False,Southampton,yes,True,0.2647385704347907,False,False,True
0,1,28.0,0,0,31.0,First,man,True,Southampton,no,True,0.060507970265993034,True,False,True
1,3,25.0,0,0,0.0,Third,man,True,Southampton,yes,True,0.0,True,False,True
1,2,41.0,0,1,19.5,Second,woman,False,Southampton,yes,False,0.0380614651673182,False,False,True
0,1,37.0,0,1,29.7,First,man,True,Cherbourg,no,False,0.057970539254838485,True,False,False
1,1,63.0,1,0,77.9583,First,woman,False,Southampton,yes,False,0.15216446768991498,False,False,True
